Batting Average (bin),height weight ratio,HR is 0,Highest BA,BA is 0,Search for name BA,Search for name HR,Right Handed,Home Runs,Home Runs ,Home Runs (bins of 20),Number of Players,Weight ranges (pounds),Weight (lb) ,Batting Average,Handedness,Height (inches),Name,Weight
0.22,0.442424242,False,False,False,True,True,True,10,10,0,1,165,165,0.228,Right,73,Brian Giles,165
0.28,0.428571429,False,False,False,True,True,True,117,110,100,1,175,175,0.285,Right,75,Garry Maddox,175
0.24,0.424242424,False,False,False,True,True,True,23,20,20,1,165,165,0.249,Right,70,Alex Trevino,165
0.21,0.375,False,False,False,True,True,True,18,10,0,1,190,190,0.214,Right,72,Jim Price,192
0.28,0.412790698,False,False,False,True,True,True,22,20,20,1,170,170,0.279,Right,71,Felix Millan,172
0.29,0.364583333,False,False,False,True,True,True,272,270,260,1,190,190,0.294,Right,70,Steve Garvey,192
0.24,0.365853659,False,False,False,True,True,False,200,200,200,1,205,205,0.249,Left,75,Don Mincher,205
0.00,0.384210526,True,False,True,True,True,True,0,0,0,1,190,190,0,Right,73,Greg Erardi,190
0.00,0.374358974,True,False,True,True,True,True,0,0,0,1,195,195,0,Right,73,Jim Farr,195
0.19,0.342857143,False,False,False,True,True,True,11,10,0,1,210,210,0.192,Right,72,Tony Cloninger,210
0.22,0.383783784,False,False,False,True,True,False,30,30,20,1,185,185,0.226,Left,71,Jim Gosger,185
0.22,0.378378378,False,False,False,True,True,True,17,10,0,1,185,185,0.238,Right,70,Chuck Harrison,185
0.26,0.365853659,False,False,False,True,True,True,81,80,80,1,205,205,0.269,Right,75,Mike Ivie,205
0.00,0.365853659,True,False,True,True,True,True,0,0,0,1,205,205,0,Right,75,Frank Dimichele,205
0.10,0.367924528,True,False,False,True,True,False,0,0,0,1,210,210,0.114,Both,78,Bob Veale,212
0.24,0.405714286,False,False,False,True,True,False,40,40,40,1,175,175,0.247,Left,71,Marvell Wynne,175
0.28,0.404371585,False,False,False,True,True,True,242,240,240,1,180,180,0.278,Right,74,Dusty Baker,183
0.21,0.374358974,False,False,False,True,True,True,6,0,0,1,195,195,0.218,Right,73,Tucker Ashford,195
0.21,0.384210526,False,False,False,True,True,True,16,10,0,1,190,190,0.212,Right,73,Ned Yost,190
0.24,0.394444444,False,False,False,True,True,False,33,30,20,1,180,180,0.25,Both,71,Bob Stinson,180
0.00,0.417142857,True,False,True,True,True,True,0,0,0,1,175,175,0,Right,73,Mike Warren,175
0.12,0.370731707,False,False,False,True,True,True,6,0,0,1,205,205,0.131,Right,76,Gaylord Perry,205
0.24,0.401098901,False,False,False,True,True,False,16,10,0,1,180,180,0.246,Left,73,Dave Marshall,182
0.28,0.37,False,False,False,True,True,True,38,30,20,1,200,200,0.28,Right,74,Mickey Hatcher,200
0.22,0.394736842,False,False,False,True,True,False,82,80,80,1,190,190,0.224,Left,75,Roger Repoz,190
0.00,0.384615385,True,False,True,True,True,True,0,0,0,1,195,195,0,Right,75,Bill Fulton,195
0.24,0.348837209,False,False,False,True,True,True,40,40,40,1,215,215,0.249,Right,75,John Orsino,215
0.00,0.394736842,True,False,True,True,True,True,0,0,0,1,190,190,0,Right,75,Larry Anderson,190
0.24,0.384210526,False,False,False,True,True,False,139,130,120,1,190,190,0.253,Left,73,Johnny Briggs,190
0.00,0.416666667,True,False,True,True,True,True,0,0,0,1,180,180,0,Right,75,Craig Mitchell,180
0.22,0.353488372,False,False,False,True,True,True,37,30,20,1,215,215,0.229,Right,76,Dave Hostetler,215
0.21,0.379487179,False,False,False,True,True,False,20,20,20,1,195,195,0.221,Left,74,Bob Jones,195
0.29,0.4,False,False,False,True,True,False,162,160,160,1,180,180,0.296,Left,72,Keith Hernandez,180
0.00,0.405405405,True,False,True,True,True,True,0,0,0,1,185,185,0,Right,75,Alfredo Martinez,185
